Question_Number,Category,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation
152,Controlling a Stage,Which activity involves reviewing Work Package status?,Authorize a Work Package,Review Work Package status,Receive completed Work Package,Capture and examine issues and risks,B,Specific activity for reviewing WP progress
153,Controlling a Stage,Controlling a Stage continues until stage completion.,True,False,N/A,N/A,A,CS process runs throughout management stage
154,Controlling a Stage,Team Manager reports progress through:,Highlight Reports,Checkpoint Reports,End Stage Reports,Exception Reports,B,Team Manager uses Checkpoint Reports
155,Controlling a Stage,Lessons are captured throughout stage execution.,True,False,N/A,N/A,A,Lessons captured continuously during execution
156,Managing Product Delivery,Managing Product Delivery is performed by:,Project Manager,Team Manager,Project Board,Project Support,B,Team Manager performs this process
157,Managing Product Delivery,This process covers work done to create project products.,True,False,N/A,N/A,A,MPD covers actual product creation work
158,Managing Product Delivery,Work Package acceptance involves checking:,Resource requirements only,All aspects including constraints and reporting arrangements,Timeline only,Budget only,B,Full Work Package review before acceptance
159,Managing Product Delivery,Which document formally hands over completed products?,Work Package,Product Description,Quality Register,Checkpoint Report,A,Completed Work Package handed back to Project Manager
160,Managing Product Delivery,Team Manager must accept Work Package before starting work.,True,False,N/A,N/A,A,Formal acceptance required before work starts
161,Managing Product Delivery,Product delivery cycle includes:,Accept Execute Deliver,Plan Execute Review,Accept Plan Execute Deliver,Start Execute Complete,A,Three-step cycle for product delivery
162,Managing Product Delivery,Quality checking is performed by:,Team Manager only,Project Manager only,Independent quality reviewers,Anyone designated in quality method,D,Quality checking done by designated reviewers
163,Managing Product Delivery,Checkpoint Reports are mandatory in this process.,True,False,N/A,N/A,B,Checkpoint Reports frequency agreed in Work Package
164,Managing Product Delivery,Team Manager raises exceptions when:,Work is completed,Work Package tolerance forecast to be exceeded,Quality issues arise,Resources are needed,B,Exceptions raised for tolerance breaches
165,Managing Product Delivery,Completed Work Package must meet acceptance criteria.,True,False,N/A,N/A,A,Work Package must meet defined criteria
166,Managing a Stage Boundary,Managing a Stage Boundary is triggered by:,Project Board request,Approaching end of management stage,Exception Report,Change request,B,Triggered near end of management stage
167,Managing a Stage Boundary,This process updates the Project Plan.,True,False,N/A,N/A,A,Project Plan updated with actual performance
168,Managing a Stage Boundary,End Stage Report provides:,Future stage plans,Performance assessment of completed stage,Risk analysis only,Resource requirements,B,ESR assesses completed stage performance
169,Managing a Stage Boundary,Which plan is created for the next stage?,Project Plan,Team Plan,Stage Plan,Work Package Plan,C,Next Stage Plan created for following stage
170,Managing a Stage Boundary,Business Case is reviewed at stage boundaries.,True,False,N/A,N/A,A,Business Case reviewed and updated at boundaries
171,Managing a Stage Boundary,Exception Plans are created when:,Stages complete normally,Stage tolerances are exceeded,New stages begin,Projects start,B,Exception Plans replace Stage Plans after tolerance breach
172,Managing a Stage Boundary,Stage boundary reviews assess:,Stage performance only,Project viability and next stage authorization,Team performance only,Resource allocation only,B,Reviews assess overall project viability
173,Managing a Stage Boundary,Lessons are reviewed and updated at stage boundaries.,True,False,N/A,N/A,A,Lessons reviewed and applied at boundaries
174,Managing a Stage Boundary,Project Plan updates reflect:,Completed stage actuals,Future stage estimates,Risk and issue impacts,All of the above,D,Project Plan updates include all performance data
175,Managing a Stage Boundary,Managing a Stage Boundary can result in project premature closure.,True,False,N/A,N/A,A,Process can recommend premature closure
176,Closing a Project,Closing a Project is triggered by:,Project Board authorization,Project Manager decision,Budget depletion,Timeline completion,A,Project Board authorizes closure
177,Closing a Project,Project closure can be premature or planned.,True,False,N/A,N/A,A,Projects can close prematurely or as planned
178,Closing a Project,End Project Report evaluates:,Project performance against baseline,Team performance only,Financial performance only,Technical delivery only,A,EPR evaluates overall project performance
179,Closing a Project,Which activity transfers ongoing operational responsibilities?,Prepare planned closure,Hand over products,Evaluate the project,Recommend project closure,B,Hand over products transfers operational responsibility
180,Closing a Project,Benefits Review Plan may be updated during closure.,True,False,N/A,N/A,A,BRP may need updates based on project outcomes
181,Closing a Project,Lessons Report contains:,Project lessons only,Recommendations for future projects,Team feedback only,Process improvements only,B,Lessons Report provides recommendations for future
182,Closing a Project,Project closure notification involves:,Internal stakeholders only,All interested parties,Project team only,Executive only,B,All stakeholders notified of closure
183,Closing a Project,All project products must be accepted before closure.,True,False,N/A,N/A,A,Product acceptance required for successful closure
184,Closing a Project,Follow-on action recommendations cover:,Technical issues only,Unfinished work and operational concerns,Team arrangements only,Budget reconciliation only,B,Follow-on actions address remaining work and concerns
185,Closing a Project,Project files are archived during closure.,True,False,N/A,N/A,A,Project documentation archived for future reference
186,Project Environment & Tailoring,Tailoring PRINCE2 considers:,Project scale and complexity,Organizational environment,Project type and familiarity,All of the above,D,Tailoring considers all environmental factors
187,Project Environment & Tailoring,PRINCE2 must be applied exactly as written.,True,False,N/A,N/A,B,PRINCE2 should be tailored to project environment
188,Project Environment & Tailoring,In a simple project you might:,Skip all documentation,Combine documents and simplify procedures,Use only one management stage,Remove all controls,B,Simple projects can use combined and simplified approaches
189,Project Environment & Tailoring,Embedding PRINCE2 means:,Training all staff,Integrating PRINCE2 with organizational processes,Using PRINCE2 for all projects,Replacing existing methods,B,Embedding integrates PRINCE2 with existing processes
190,Project Environment & Tailoring,Agile can be combined with PRINCE2.,True,False,N/A,N/A,A,PRINCE2 can be combined with Agile delivery approaches
191,Project Environment & Tailoring,For a project in a program you might:,Ignore program governance,Align project governance with program,Create separate governance,Report only to program,B,Project governance should align with program
192,Project Environment & Tailoring,Commercial customer/supplier environment affects:,Contract management,Acceptance procedures,Risk and change management,All of the above,D,Commercial environment affects multiple aspects
193,Project Environment & Tailoring,Multi-organization projects require clear role definitions.,True,False,N/A,N/A,A,Clear roles essential in multi-organization projects
194,Project Environment & Tailoring,Tailoring should be:,Done once at project start,Documented in Project Initiation Document,Reviewed as project progresses,All of the above,D,Tailoring is planned documented and reviewed
195,Project Environment & Tailoring,Small projects can use informal communication methods.,True,False,N/A,N/A,A,Small projects may use less formal communication
196,Project Environment & Tailoring,For complex projects you typically need:,More detailed planning,Enhanced controls,More formal communication,All of the above,D,Complex projects need more sophisticated approaches
197,Project Environment & Tailoring,Project operating model defines:,Project organization only,How project will operate within its environment,Technical delivery approach only,Communication methods only,B,Operating model defines how project fits environment
198,Project Environment & Tailoring,PRINCE2 roles can be combined for smaller projects.,True,False,N/A,N/A,A,Role combination common in smaller projects
199,Project Environment & Tailoring,When tailoring you should consider:,Organizational maturity,Project constraints,Stakeholder expectations,All of the above,D,Tailoring considers multiple factors
200,Project Environment & Tailoring,Tailoring documentation should explain deviations from standard PRINCE2.,True,False,N/A,N/A,A,Tailoring decisions should be documented and justified
